FiscalYear,Revenue,CashEquivalents,MarketSecurities,SharesOutBasic,SharesOutDiluted,CashForDividends
1984,90854.0,3290.0,0.0,6503.529,6503.529,0.0
1985,86673.0,2474.0,0.0,6012.346,6012.346,0.0
1986,69888.0,3816.0,0.0,5763.441,5763.441,0.0
1987,76416.0,2531.0,0.0,5627.907,5627.907,0.0
1988,79557.0,2409.0,0.0,5313.131,5313.131,0.0
1989,86656.0,1865.0,0.0,5124.088,5124.088,-3170.0
1990,105519.0,1332.0,0.0,4989.697,4989.697,-3397.0
1991,102847.0,1496.0,0.0,4963.677,4963.677,-3645.0
1992,103160.0,898.0,0.0,4983.28,4983.28,-3832.0
1993,97825.0,983.0,0.0,4957.238,4980.957,-3879.0
1994,99683.0,1157.0,0.0,4970.909,5039.37,-4079.0
1995,107893.0,1508.0,0.0,4996.139,4996.139,-4047.0
1996,116728.0,2951.0,0.0,4972.093,5040.201,-4193.0
1997,176552.0,4047.0,0.0,4966.667,5029.536,-6177.0
1998,165627.0,2386.0,50.0,4885.572,4934.673,-6230.0
1999,182529.0,1688.0,73.0,6907.018,6999.111,-6091.0
2000,231846.0,7080.0,0.0,6949.02,7031.746,-6374.0
2001,212785.0,6547.0,0.0,6869.955,6932.127,-6448.0
2002,204506.0,7229.0,0.0,6781.065,6821.429,-6386.0
2003,246738.0,10626.0,0.0,6638.889,6659.443,-6945.0
2004,298035.0,18531.0,0.0,6478.261,6511.568,-7111.0
2005,370680.0,28671.0,0.0,6272.569,6327.496,-7478.0
2006,377635.0,28244.0,0.0,5913.174,5966.767,-7867.0
2007,395651.0,33981.0,519.0,5557.0,5593.664,-7621.0
2008,466278.0,31437.0,570.0,5194.0,5221.709,-8058.0
2009,303443.0,10693.0,169.0,4832.0,4848.0,-8023.0
2010,370125.0,7825.0,0.0,4885.0,4897.106,-8498.0
2011,467029.0,12664.0,0.0,4870.0,4870.0,-9020.0
2012,451509.0,9582.0,0.0,4628.0,4628.0,-10092.0
2013,420836.0,4644.0,0.0,4419.0,4419.0,-10875.0
2014,394105.0,4616.0,0.0,4282.0,4282.0,-11568.0
2015,239854.0,3705.0,0.0,4196.0,4196.0,-12090.0
2016,200628.0,3657.0,0.0,4177.0,4177.0,-12453.0
2017,237162.0,3177.0,0.0,4256.0,4256.0,-13001.0
2018,279332.0,3042.0,0.0,4270.0,4270.0,-13798.0
2019,255583.0,3089.0,0.0,4270.0,4270.0,-14652.0
2020,178574.0,4364.0,0.0,4271.0,4271.0,-14865.0
2021,276692.0,6802.0,0.0,4275.0,4275.0,-14924.0
2022,398675.0,29640.0,0.0,4205.0,4205.0,-14939.0
2023,334697.0,31539.0,0.0,4052.0,4052.0,-14941.0
