FiscalYear,Revenue,FreeCashFlow,CashEquivalents,MarketSecurities,TreasuryStock,CashForDividends,StockIssuance,StockRepurchase
1984,90854.0,0.0,3290.0,0.0,0.0,0.0,0.0,0.0
1985,86673.0,0.0,2474.0,0.0,0.0,0.0,0.0,0.0
1986,69888.0,0.0,3816.0,0.0,0.0,0.0,0.0,0.0
1987,76416.0,0.0,2531.0,0.0,0.0,0.0,0.0,0.0
1988,79557.0,0.0,2409.0,0.0,0.0,0.0,0.0,0.0
1989,86656.0,1602.0,1865.0,0.0,0.0,-3170.0,1006.0,-1750.0
1990,105519.0,4098.0,1332.0,0.0,0.0,-3397.0,0.0,-336.0
1991,102847.0,3618.0,1496.0,0.0,0.0,-3645.0,113.0,-466.0
1992,103160.0,2386.0,898.0,0.0,0.0,-3832.0,148.0,-358.0
1993,97825.0,4547.0,983.0,0.0,0.0,-3879.0,131.0,-323.0
1994,99683.0,3208.0,1157.0,0.0,0.0,-4079.0,66.0,-220.0
1995,107893.0,6719.0,1508.0,0.0,0.0,-4047.0,328.0,-628.0
1996,116728.0,5953.0,2951.0,0.0,0.0,-4193.0,347.0,-801.0
1997,176552.0,9790.0,4047.0,0.0,0.0,-6177.0,424.0,-3122.0
1998,165627.0,3706.0,2386.0,50.0,-15831.0,-6230.0,507.0,-3547.0
1999,182529.0,4164.0,1688.0,73.0,-12126.0,-6091.0,348.0,-670.0
2000,231846.0,14491.0,7080.0,0.0,-14132.0,-6374.0,493.0,-2352.0
2001,212785.0,12900.0,6547.0,0.0,-19597.0,-6448.0,301.0,-5721.0
2002,204506.0,9831.0,7229.0,0.0,-24077.0,-6386.0,299.0,-4798.0
2003,246738.0,15639.0,10626.0,0.0,-29361.0,-6945.0,434.0,-5881.0
2004,298035.0,28565.0,18531.0,0.0,-38214.0,-7111.0,960.0,-9951.0
2005,370680.0,34299.0,28671.0,0.0,-55347.0,-7478.0,941.0,-18221.0
2006,377635.0,33824.0,28244.0,0.0,-83387.0,-7867.0,1173.0,-29558.0
2007,395651.0,36615.0,33981.0,519.0,-113678.0,-7621.0,1079.0,-31822.0
2008,466278.0,40407.0,31437.0,570.0,-148098.0,-8058.0,753.0,-35734.0
2009,303443.0,5947.0,10693.0,169.0,-166410.0,-8023.0,752.0,-19703.0
2010,370125.0,21542.0,7825.0,0.0,-156608.0,-8498.0,1043.0,-13093.0
2011,467029.0,24370.0,12664.0,0.0,-176932.0,-9020.0,924.0,-22055.0
2012,451509.0,21899.0,9582.0,0.0,-197333.0,-10092.0,193.0,-21068.0
2013,420836.0,11245.0,4644.0,0.0,-212781.0,-10875.0,50.0,-15998.0
2014,394105.0,12164.0,4616.0,0.0,-225820.0,-11568.0,30.0,-13183.0
2015,239854.0,3854.0,3705.0,0.0,-229734.0,-12090.0,5.0,-4039.0
2016,200628.0,5919.0,3657.0,0.0,-230424.0,-12453.0,6.0,-977.0
2017,237162.0,14664.0,3177.0,0.0,-225246.0,-13001.0,0.0,-747.0
2018,279332.0,16440.0,3042.0,0.0,-225553.0,-13798.0,0.0,-626.0
2019,255583.0,5355.0,3089.0,0.0,-225835.0,-14652.0,0.0,-594.0
2020,178574.0,-2614.0,4364.0,0.0,-225776.0,-14865.0,0.0,-405.0
2021,276692.0,36053.0,6802.0,0.0,-225464.0,-14924.0,0.0,-155.0
2022,398675.0,58390.0,29640.0,0.0,-240293.0,-14939.0,0.0,-15155.0
2023,334697.0,33450.0,31539.0,0.0,-254917.0,-14941.0,0.0,-17748.0
