dividend_amount,ex_date,record_date,pay_date,dividend_type,currency
0.51,2025-02-18,2025-02-18,2025-03-11,regular,USD
0.5,2024-11-21,2024-11-21,2024-12-12,regular,USD
0.5,2024-08-21,2024-08-21,2024-09-11,regular,USD
0.5,2024-05-15,2024-05-16,2024-06-05,regular,USD
0.5,2024-02-07,2024-02-08,2024-02-29,regular,USD
0.45,2023-11-14,2023-11-15,2023-12-06,regular,USD
0.45,2023-08-15,2023-08-16,2023-09-06,regular,USD
0.45,2023-05-16,2023-05-17,2023-06-07,regular,USD
0.45,2023-02-08,2023-02-09,2023-03-02,regular,USD
0.4,2022-11-15,2022-11-16,2022-12-07,regular,USD
0.4,2022-08-16,2022-08-17,2022-09-07,regular,USD
0.4,2022-05-17,2022-05-18,2022-06-08,regular,USD
0.4,2022-02-07,2022-02-08,2022-03-01,regular,USD
0.37,2021-11-16,2021-11-17,2021-12-08,regular,USD
0.37,2021-08-17,2021-08-18,2021-09-08,regular,USD
0.37,2021-05-18,2021-05-19,2021-06-09,regular,USD
0.37,2021-02-08,2021-02-09,2021-03-02,regular,USD
0.36,2020-11-18,2020-11-19,2020-12-10,regular,USD
0.36,2020-08-18,2020-08-19,2020-09-09,regular,USD
0.36,2020-05-19,2020-05-20,2020-06-10,regular,USD
0.36,2020-02-12,2020-02-13,2020-03-05,regular,USD
0.35,2019-11-20,2019-11-21,2019-12-12,regular,USD
0.35,2019-08-21,2019-08-22,2019-09-12,regular,USD
0.35,2019-05-14,2019-05-15,2019-06-05,regular,USD
0.35,2019-02-15,2019-02-19,2019-03-12,regular,USD
0.335,2018-11-21,2018-11-23,2018-12-14,regular,USD
0.335,2018-08-15,2018-08-16,2018-09-06,regular,USD
0.335,2018-05-16,2018-05-17,2018-06-07,regular,USD
0.335,2018-02-16,2018-02-20,2018-03-13,regular,USD
0.32,2017-11-15,2017-11-16,2017-12-07,regular,USD
0.32,2017-08-15,2017-08-17,2017-09-01,regular,USD
0.32,2017-05-16,2017-05-18,2017-06-08,regular,USD
0.32,2017-02-16,2017-02-21,2017-03-14,regular,USD
0.3,2016-11-14,2016-11-16,2016-12-07,regular,USD
0.3,2016-08-15,2016-08-17,2016-09-07,regular,USD
0.3,2016-05-16,2016-05-18,2016-06-08,regular,USD
0.3,2016-02-11,2016-02-16,2016-03-08,regular,USD
0.28,2015-11-16,2015-11-18,2015-12-09,regular,USD
0.28,2015-08-17,2015-08-19,2015-09-09,regular,USD
0.28,2015-05-19,2015-05-21,2015-06-11,regular,USD
0.28,2015-02-12,2015-02-17,2015-03-10,regular,USD
0.24,2014-11-18,2014-11-20,2014-12-11,regular,USD
0.24,2014-08-19,2014-08-21,2014-09-11,regular,USD
0.24,2014-05-13,2014-05-15,2014-06-05,regular,USD
0.24,2014-02-18,2014-02-20,2014-03-13,regular,USD
0.19,2013-11-12,2013-11-14,2013-12-05,regular,USD
0.19,2013-08-20,2013-08-22,2013-09-12,regular,USD
0.19,2013-05-14,2013-05-16,2013-06-06,regular,USD
0.19,2013-02-15,2013-02-20,2013-03-13,regular,USD
0.175,2012-11-13,2012-11-15,2012-12-06,regular,USD
0.175,2012-08-14,2012-08-16,2012-09-06,regular,USD
0.175,2012-05-15,2012-05-17,2012-06-07,regular,USD
0.175,2012-02-14,2012-02-16,2012-03-08,regular,USD
0.175,2011-11-15,2011-11-17,2011-12-08,regular,USD
0.16,2011-08-16,2011-08-18,2011-09-08,regular,USD
0.16,2011-05-17,2011-05-19,2011-06-09,regular,USD
0.16,2011-02-15,2011-02-17,2011-03-10,regular,USD
0.15,2010-11-16,2010-11-18,2010-12-09,regular,USD
0.15,2010-08-17,2010-08-19,2010-09-09,regular,USD
0.15,2010-05-18,2010-05-20,2010-06-10,regular,USD
0.15,2010-02-16,2010-02-18,2010-03-11,regular,USD
0.14,2009-11-17,2009-11-19,2009-12-10,regular,USD
0.14,2009-08-18,2009-08-20,2009-09-10,regular,USD
0.14,2009-05-19,2009-05-21,2009-06-11,regular,USD
0.14,2009-02-17,2009-02-19,2009-03-12,regular,USD
0.13,2008-11-18,2008-11-20,2008-12-11,regular,USD
0.13,2008-08-19,2008-08-21,2008-09-11,regular,USD
0.13,2008-05-13,2008-05-15,2008-06-05,regular,USD
0.13,2008-02-14,2008-02-19,2008-03-11,regular,USD
0.115,2007-11-20,2007-11-23,2007-12-06,regular,USD
0.115,2007-08-13,2007-08-15,2007-09-05,regular,USD
0.115,2007-05-15,2007-05-17,2007-06-07,regular,USD
0.115,2007-02-14,2007-02-16,2007-03-09,regular,USD
0.1,2006-11-15,2006-11-17,2006-12-18,regular,USD
0.1,2006-08-16,2006-08-18,2006-09-08,regular,USD
0.1,2006-05-17,2006-05-19,2006-06-09,regular,USD
0.1,2006-02-15,2006-02-17,2006-03-10,regular,USD
0.085,2005-11-16,2005-11-19,2005-12-10,regular,USD
0.085,2005-08-17,2005-08-19,2005-09-09,regular,USD
0.085,2005-05-17,2005-05-19,2005-06-09,regular,USD
0.085,2005-02-15,2005-02-17,2005-03-10,regular,USD
0.075,2004-11-17,2004-11-19,2004-12-10,regular,USD
0.075,2004-08-18,2004-08-20,2004-09-10,regular,USD
0.075,2004-05-14,2004-05-18,2004-06-10,regular,USD
0.075,2004-02-11,2004-02-13,2004-03-09,regular,USD
0.06,2003-11-14,2003-11-18,2003-12-11,regular,USD
0.06,2003-08-20,2003-08-22,2003-09-10,regular,USD
0.06,2003-05-07,2003-05-09,2003-06-02,regular,USD
0.06,2003-02-05,2003-02-07,2003-03-04,regular,USD
0.06,2002-11-15,2002-11-19,2002-12-12,regular,USD
0.06,2002-08-15,2002-08-19,2002-09-09,regular,USD
0.05,2002-05-08,2002-05-10,2002-06-03,regular,USD
0.05,2002-02-06,2002-02-08,2002-03-05,regular,USD
0.05,2001-11-07,2001-11-12,2001-12-04,regular,USD
0.0476,2001-08-09,2001-08-13,2001-09-04,regular,USD
0.0476,2001-05-09,2001-05-11,2001-06-04,regular,USD
0.0476,2001-01-31,2001-02-02,2001-03-05,regular,USD
0.0476,2000-11-08,2000-11-10,2000-12-04,regular,USD
0.045297,2000-08-09,2000-08-11,2000-09-04,regular,USD
0.045297,2000-05-03,2000-05-05,2000-06-05,regular,USD
0.045297,2000-02-02,2000-02-04,2000-02-28,regular,USD
0.045297,1999-11-03,1999-11-05,1999-11-29,regular,USD
0.043097,1999-08-04,1999-08-06,1999-08-30,regular,USD
0.043097,1999-05-05,1999-05-07,1999-06-01,regular,USD
0.043097,1999-02-03,1999-02-05,1999-03-01,regular,USD
0.043097,1998-11-04,1998-11-06,1998-11-30,regular,USD
0.041003,1998-08-05,1998-08-07,1998-08-31,regular,USD
0.041003,1998-05-06,1998-05-08,1998-06-01,regular,USD
0.041003,1998-02-04,1998-02-06,1998-03-02,regular,USD
0.041003,1997-11-05,1997-11-07,1997-12-01,regular,USD
0.038996,1997-08-06,1997-08-08,1997-09-02,regular,USD
0.038996,1997-05-07,1997-05-09,1997-06-02,regular,USD
0.038996,1997-02-05,1997-02-07,1997-03-03,regular,USD
0.038996,1996-11-06,1996-11-08,1996-12-02,regular,USD
0.037102,1996-08-07,1996-08-09,1996-09-03,regular,USD
0.037102,1996-05-01,1996-05-03,1996-05-28,regular,USD
0.037102,1996-01-31,1996-02-02,1996-02-26,regular,USD
0.037102,1995-11-01,1995-11-03,1995-11-27,regular,USD
0.017803,1995-08-02,1995-08-04,1995-08-28,regular,USD
0.017803,1995-05-01,1995-05-05,1995-05-30,regular,USD
0.017803,1995-01-30,1995-02-03,1995-02-27,regular,USD
0.0178,1994-10-31,1994-11-04,1994-11-28,regular,USD
0.010667,1994-08-01,1994-08-05,1994-08-29,regular,USD
0.010667,1994-05-02,1994-05-06,1994-05-31,regular,USD
0.010667,1994-01-31,1994-02-04,1994-02-28,regular,USD
0.010667,1993-11-01,1993-11-05,1993-11-29,regular,USD
0.010194,1993-08-02,1993-07-29,0000-00-00,regular,USD
0.010194,1993-05-03,1993-04-29,0000-00-00,regular,USD
0.010194,1993-02-01,1993-01-28,0000-00-00,regular,USD
0.010194,1992-11-02,1992-10-29,0000-00-00,regular,USD
0.009722,1992-08-03,1992-07-30,0000-00-00,regular,USD
0.009722,1992-05-04,1992-04-30,0000-00-00,regular,USD
0.009722,1992-02-03,1992-01-30,0000-00-00,regular,USD
0.009722,1991-11-04,1991-10-31,0000-00-00,regular,USD
0.007979,1991-08-05,1991-08-09,1991-09-03,regular,USD
0.007979,1991-05-06,1991-05-10,1991-06-03,regular,USD
0.007979,1991-01-28,1991-02-01,1991-02-25,regular,USD
0.007979,1990-11-05,1990-11-09,1990-12-03,regular,USD
0.007287,1990-07-30,1990-08-03,1990-08-27,regular,USD
0.007287,1990-04-30,1990-05-04,1990-05-29,regular,USD
0.007287,1990-01-29,1990-02-02,1990-02-26,regular,USD
0.004858,1989-11-06,1989-11-10,1989-12-11,regular,USD
0.005627,1989-07-31,1989-07-27,0000-00-00,regular,USD
0.005627,1989-05-01,1989-04-27,0000-00-00,regular,USD
0.005627,1989-01-30,1989-01-26,0000-00-00,regular,USD
0.005627,1988-10-31,1988-10-27,0000-00-00,regular,USD
0.005343,1988-08-01,1988-07-28,0000-00-00,regular,USD
0.005343,1988-05-02,1988-04-28,0000-00-00,regular,USD
0.005343,1988-02-01,1988-01-28,0000-00-00,regular,USD
0.005343,1987-11-02,1987-10-29,0000-00-00,regular,USD
0.002392,1987-08-03,1987-08-07,1987-08-31,regular,USD
0.002392,1987-05-04,1987-05-08,1987-06-01,regular,USD
0.002392,1987-02-02,1987-02-06,1987-03-02,regular,USD
0.002392,1986-10-27,1986-10-31,1986-12-01,regular,USD
0.004774,1986-07-28,1986-07-24,0000-00-00,regular,USD
0.001375,1986-04-28,1986-05-02,1986-05-27,regular,USD
0.001375,1986-02-03,1986-02-07,1986-03-03,regular,USD
