dividend_amount,ex_date,record_date,pay_date,dividend_type,currency
1.355,2025-03-07,2025-03-07,2025-03-31,regular,USD
1.355,2024-12-06,2024-12-06,2025-01-06,regular,USD
1.355,2024-09-06,2024-09-06,2024-09-30,regular,USD
1.355,2024-06-07,2024-06-07,2024-06-28,regular,USD
1.265,2024-02-29,2024-03-01,2024-04-01,regular,USD
1.265,2023-11-30,2023-12-01,2024-01-05,regular,USD
1.265,2023-08-31,2023-09-01,2023-09-29,regular,USD
1.265,2023-06-01,2023-06-02,2023-06-30,regular,USD
1.15,2023-03-02,2023-03-03,2023-03-31,regular,USD
1.15,2022-12-01,2022-12-02,2023-01-06,regular,USD
1.15,2022-09-01,2022-09-02,2022-09-30,regular,USD
1.15,2022-06-02,2022-06-03,2022-06-30,regular,USD
1.075,2022-03-03,2022-03-04,2022-03-31,regular,USD
1.075,2021-12-02,2021-12-03,2022-01-07,regular,USD
1.075,2021-09-02,2021-09-03,2021-09-30,regular,USD
1.075,2021-06-03,2021-06-04,2021-06-30,regular,USD
1.0225,2021-03-04,2021-03-05,2021-03-31,regular,USD
1.0225,2020-12-03,2020-12-04,2021-01-07,regular,USD
1.0225,2020-09-03,2020-09-04,2020-09-30,regular,USD
1.0225,2020-06-04,2020-06-05,2020-06-30,regular,USD
0.955,2020-03-05,2020-03-06,2020-03-31,regular,USD
0.955,2019-12-05,2019-12-06,2020-01-07,regular,USD
0.955,2019-09-05,2019-09-06,2019-09-30,regular,USD
0.955,2019-06-06,2019-06-07,2019-06-28,regular,USD
0.9275,2019-02-28,2019-03-01,2019-03-29,regular,USD
0.9275,2018-12-06,2018-12-07,2019-01-07,regular,USD
0.9275,2018-09-06,2018-09-07,2018-09-28,regular,USD
0.9275,2018-05-31,2018-06-01,2018-06-29,regular,USD
0.805,2018-03-01,2018-03-02,2018-03-30,regular,USD
0.805,2017-11-30,2017-12-01,2018-01-08,regular,USD
0.805,2017-08-30,2017-09-01,2017-09-29,regular,USD
0.805,2017-05-31,2017-06-02,2017-06-30,regular,USD
0.7525,2017-03-01,2017-03-03,2017-03-31,regular,USD
0.7525,2016-11-30,2016-12-02,2017-01-06,regular,USD
0.7525,2016-08-31,2016-09-02,2016-09-30,regular,USD
0.7525,2016-06-01,2016-06-03,2016-06-30,regular,USD
0.7025,2016-03-02,2016-03-04,2016-03-31,regular,USD
0.7025,2015-12-02,2015-12-04,2016-01-07,regular,USD
0.7025,2015-09-02,2015-09-04,2015-09-30,regular,USD
0.7025,2015-06-03,2015-06-05,2015-06-30,regular,USD
0.655,2015-03-04,2015-03-06,2015-03-31,regular,USD
0.655,2014-12-03,2014-12-05,2015-01-07,regular,USD
0.655,2014-09-03,2014-09-05,2014-09-30,regular,USD
0.655,2014-06-04,2014-06-06,2014-06-30,regular,USD
0.5675,2014-03-05,2014-03-07,2014-03-31,regular,USD
0.5675,2013-12-04,2013-12-06,2014-01-02,regular,USD
0.5675,2013-09-04,2013-09-06,2013-09-30,regular,USD
0.5675,2013-06-05,2013-06-07,2013-06-28,regular,USD
0.5375,2013-02-27,2013-03-01,2013-03-29,regular,USD
0.5375,2012-12-05,2012-12-07,2013-01-02,regular,USD
0.5375,2012-09-05,2012-09-07,2012-09-28,regular,USD
0.5375,2012-05-30,2012-06-01,2012-06-29,regular,USD
0.515,2012-02-29,2012-03-02,2012-03-30,regular,USD
0.515,2011-11-30,2011-12-02,2012-01-03,regular,USD
0.515,2011-08-31,2011-09-02,2011-09-30,regular,USD
0.515,2011-06-01,2011-06-03,2011-06-30,regular,USD
0.48,2011-03-02,2011-03-04,2011-03-31,regular,USD
0.48,2010-12-01,2010-12-03,2011-01-03,regular,USD
0.48,2010-09-01,2010-09-03,2010-09-30,regular,USD
0.48,2010-06-02,2010-06-04,2010-06-30,regular,USD
0.45,2010-03-03,2010-03-05,2010-03-31,regular,USD
0.45,2009-12-02,2009-12-04,2010-01-04,regular,USD
0.45,2009-09-02,2009-09-04,2009-09-30,regular,USD
0.45,2009-06-03,2009-06-05,2009-06-30,regular,USD
0.425,2009-03-04,2009-03-06,2009-03-31,regular,USD
0.425,2008-12-03,2008-12-05,2009-01-02,regular,USD
0.425,2008-09-03,2008-09-05,2008-09-30,regular,USD
0.425,2008-06-04,2008-06-06,2008-06-30,regular,USD
0.375,2008-03-05,2008-03-07,2008-03-31,regular,USD
