dividend_amount,ex_date,record_date,pay_date,dividend_type,currency
1.71,2025-05-19,2025-05-19,2025-06-10,regular,USD
1.71,2025-02-14,2025-02-14,2025-03-10,regular,USD
1.63,2024-11-18,2024-11-18,2024-12-10,regular,USD
1.63,2024-08-19,2024-08-19,2024-09-10,regular,USD
1.63,2024-05-16,2024-05-17,2024-06-10,regular,USD
1.63,2024-02-15,2024-02-16,2024-03-11,regular,USD
1.51,2023-11-16,2023-11-17,2023-12-11,regular,USD
1.51,2023-08-17,2023-08-18,2023-09-11,regular,USD
1.51,2023-05-18,2023-05-19,2023-06-12,regular,USD
1.51,2023-02-15,2023-02-16,2023-03-10,regular,USD
1.42,2022-11-17,2022-11-18,2022-12-12,regular,USD
1.42,2022-08-18,2022-08-19,2022-09-12,regular,USD
1.42,2022-05-18,2022-05-19,2022-06-10,regular,USD
1.42,2022-02-15,2022-02-16,2022-03-10,regular,USD
1.34,2021-11-17,2021-11-18,2021-12-10,regular,USD
1.34,2021-08-18,2021-08-19,2021-09-10,regular,USD
1.34,2021-05-18,2021-05-19,2021-06-10,regular,USD
1.29,2021-02-16,2021-02-17,2021-03-10,regular,USD
1.29,2020-11-17,2020-11-18,2020-12-10,regular,USD
1.29,2020-08-18,2020-08-19,2020-09-10,regular,USD
1.29,2020-05-18,2020-05-19,2020-06-10,regular,USD
1.29,2020-02-14,2020-02-18,2020-03-10,regular,USD
1.19,2019-11-15,2019-11-18,2019-12-10,regular,USD
1.19,2019-08-16,2019-08-19,2019-09-10,regular,USD
1.19,2019-05-16,2019-05-17,2019-06-10,regular,USD
1.19,2019-02-14,2019-02-15,2019-03-11,regular,USD
1.12,2018-11-15,2018-11-16,2018-12-10,regular,USD
1.12,2018-08-16,2018-08-17,2018-09-10,regular,USD
1.12,2018-05-17,2018-05-18,2018-06-11,regular,USD
1.12,2018-02-15,2018-02-16,2018-03-12,regular,USD
1.08,2017-11-16,2017-11-17,2017-12-11,regular,USD
1.08,2017-08-16,2017-08-12,2017-09-11,regular,USD
1.08,2017-05-17,2017-05-19,2017-06-12,regular,USD
1.08,2017-02-14,2017-02-16,2017-03-10,regular,USD
1.08,2016-11-16,2016-11-18,2016-12-12,regular,USD
1.07,2016-08-17,2016-08-19,2016-09-12,regular,USD
1.07,2016-05-17,2016-05-19,2016-06-10,regular,USD
1.07,2016-02-16,2016-02-18,2016-03-10,regular,USD
1.07,2015-11-16,2015-11-18,2015-12-10,regular,USD
1.07,2015-08-17,2015-08-19,2015-09-10,regular,USD
1.07,2015-05-15,2015-05-19,2015-06-10,regular,USD
1.07,2015-02-12,2015-02-17,2015-03-10,regular,USD
1.07,2014-11-14,2014-11-18,2014-12-10,regular,USD
1.07,2014-08-15,2014-08-19,2014-09-10,regular,USD
1.07,2014-05-15,2014-05-19,2014-06-10,regular,USD
1,2014-02-12,2014-02-14,2014-03-10,regular,USD
1,2013-11-14,2013-11-18,2013-12-10,regular,USD
1,2013-08-15,2013-08-19,2013-09-10,regular,USD
1,2013-05-15,2013-05-17,2013-06-10,regular,USD
0.9,2013-02-13,2013-02-15,2013-03-11,regular,USD
0.9,2012-11-14,2012-11-16,2012-12-10,regular,USD
0.9,2012-08-15,2012-08-17,2012-09-10,regular,USD
0.9,2012-05-16,2012-05-18,2012-06-11,regular,USD
0.81,2012-02-15,2012-02-17,2012-03-12,regular,USD
0.81,2011-11-16,2011-11-18,2011-12-12,regular,USD
0.78,2011-08-17,2011-08-19,2011-09-12,regular,USD
0.78,2011-05-17,2011-05-19,2011-06-10,regular,USD
0.72,2011-02-14,2011-02-16,2011-03-10,regular,USD
0.72,2010-11-16,2010-11-18,2010-12-10,regular,USD
0.72,2010-08-17,2010-08-19,2010-09-10,regular,USD
0.72,2010-05-17,2010-05-19,2010-06-10,regular,USD
0.68,2010-02-12,2010-02-17,2010-03-10,regular,USD
0.68,2009-11-16,2009-11-18,2009-12-10,regular,USD
0.68,2009-08-17,2009-08-19,2009-09-10,regular,USD
0.65,2009-05-15,2009-05-19,2009-06-10,regular,USD
0.65,2009-02-12,2009-02-17,2009-03-10,regular,USD
0.65,2008-11-14,2008-11-18,2008-12-10,regular,USD
0.65,2008-08-15,2008-08-19,2008-09-10,regular,USD
0.65,2008-05-15,2008-05-19,2008-06-10,regular,USD
0.58,2008-02-13,2008-02-15,2008-03-10,regular,USD
0.58,2007-11-14,2007-11-16,2007-12-10,regular,USD
0.58,2007-08-15,2007-08-17,2007-09-10,regular,USD
0.58,2007-05-16,2007-05-18,2007-06-11,regular,USD
0.52,2007-02-14,2007-02-16,2007-03-12,regular,USD
0.52,2006-11-15,2006-11-17,2006-12-11,regular,USD
0.52,2006-08-16,2006-08-18,2006-09-11,regular,USD
0.52,2006-05-17,2006-05-19,2006-06-12,regular,USD
0.45,2006-02-14,2006-02-16,2006-03-10,regular,USD
0.45,2005-11-16,2005-11-18,2005-12-12,regular,USD
0.45,2005-08-17,2005-08-19,2005-09-12,regular,USD
0.45,2005-05-17,2005-05-19,2005-06-10,regular,USD
0.4,2005-02-14,2005-02-16,2005-03-10,regular,USD
0.4,2004-11-16,2004-11-18,2004-12-10,regular,USD
0.4,2004-08-17,2004-08-19,2004-09-10,regular,USD
0.365,2004-05-17,2004-05-19,2004-06-10,regular,USD
0.365,2004-02-13,2004-02-18,2004-03-10,regular,USD
0.365,2003-11-14,2003-11-18,2003-12-10,regular,USD
0.365,2003-08-15,2003-08-19,2003-09-10,regular,USD
0.35,2003-05-15,2003-05-19,2003-06-10,regular,USD
