date,share_price
1970-01-02,13.06
1970-01-05,13.13
1970-01-06,12.94
1970-01-07,12.91
1970-01-08,13.16
1970-01-09,13.19
1970-01-12,13.09
1970-01-13,12.91
1970-01-14,12.5
1970-01-15,12.47
1970-01-16,12.47
1970-01-19,12.44
1970-01-20,12.31
1970-01-21,12.22
1970-01-22,12.25
1970-01-23,12.19
1970-01-26,12.09
1970-01-27,12.06
1970-01-28,11.66
1970-01-29,11.63
1970-01-30,11.53
1970-02-02,11.5
1970-02-03,11.41
1970-02-04,11.5
1970-02-05,11.5
1970-02-06,11.44
1970-02-09,11.41
1970-02-10,10.81
1970-02-11,11.06
1970-02-12,10.81
1970-02-13,10.88
1970-02-16,11.0
1970-02-17,10.94
1970-02-18,11.22
1970-02-19,11.34
1970-02-20,11.5
1970-02-24,11.5
1970-02-25,11.88
1970-02-26,12.0
1970-02-27,11.88
1970-03-02,11.66
1970-03-03,11.59
1970-03-04,11.5
1970-03-05,11.44
1970-03-06,11.53
1970-03-09,11.47
1970-03-10,11.53
1970-03-11,11.53
1970-03-12,11.47
1970-03-13,11.31
1970-03-16,11.22
1970-03-17,11.22
1970-03-18,11.31
1970-03-19,11.03
1970-03-20,11.06
1970-03-23,10.94
1970-03-24,11.03
1970-03-25,11.25
1970-03-26,11.0
1970-03-30,10.97
1970-03-31,11.13
1970-04-01,11.34
1970-04-02,11.13
1970-04-03,11.25
1970-04-06,11.28
1970-04-07,11.13
1970-04-08,11.22
1970-04-09,11.19
1970-04-10,11.13
1970-04-13,11.06
1970-04-14,10.97
1970-04-15,10.97
1970-04-16,10.81
1970-04-17,10.84
1970-04-20,10.84
1970-04-21,10.84
1970-04-22,10.78
1970-04-23,10.75
1970-04-24,10.59
1970-04-27,10.5
1970-04-28,10.34
1970-04-29,10.44
1970-04-30,10.44
1970-05-01,10.44
1970-05-04,10.25
1970-05-05,10.06
1970-05-06,10.03
1970-05-07,10.03
1970-05-08,10.0
1970-05-11,9.97
1970-05-12,9.97
1970-05-13,9.91
1970-05-14,10.06
1970-05-15,10.25
1970-05-18,10.38
1970-05-19,10.19
1970-05-20,10.06
1970-05-21,9.94
1970-05-22,9.97
1970-05-25,9.94
1970-05-26,9.94
1970-05-27,10.25
1970-05-28,10.63
1970-05-29,10.88
1970-06-01,11.09
1970-06-02,10.97
1970-06-03,11.16
1970-06-04,10.78
1970-06-05,10.53
1970-06-08,10.47
1970-06-09,10.28
1970-06-10,10.28
1970-06-11,10.25
1970-06-12,10.28
1970-06-15,10.25
1970-06-16,10.47
1970-06-17,10.41
1970-06-18,10.53
1970-06-19,10.47
1970-06-22,10.34
1970-06-23,10.28
1970-06-24,10.09
1970-06-25,10.06
1970-06-26,10.09
1970-06-29,10.06
1970-06-30,10.06
1970-07-01,10.03
1970-07-02,9.97
1970-07-06,9.72
1970-07-07,9.63
1970-07-08,9.72
1970-07-09,9.75
1970-07-10,9.91
1970-07-13,10.0
1970-07-14,9.94
1970-07-15,9.97
1970-07-16,10.25
1970-07-17,10.56
1970-07-20,10.63
1970-07-21,10.63
1970-07-22,10.59
1970-07-23,11.0
1970-07-24,10.88
1970-07-27,10.88
1970-07-28,10.75
1970-07-29,10.78
1970-07-30,10.94
1970-07-31,11.0
1970-08-03,10.91
1970-08-04,10.81
1970-08-05,10.78
1970-08-06,10.78
1970-08-07,11.13
1970-08-10,10.94
1970-08-11,10.84
1970-08-12,10.88
1970-08-13,10.84
1970-08-14,10.66
1970-08-17,10.63
1970-08-18,10.88
1970-08-19,11.13
1970-08-20,11.53
1970-08-21,11.63
1970-08-24,11.84
1970-08-25,11.88
1970-08-26,11.66
1970-08-27,11.81
1970-08-28,11.81
1970-08-31,11.88
1970-09-01,11.84
1970-09-02,11.88
