fiscal_year,pershare_revenue,pershare_earnings,pershare_dividends,pershare_fcf,pershare_cfo,market_cap,enterprise_value,pershare_high_price,pershare_low_price,shares_out_eop,shares_buyback_ratio,shares_buyback_yield,fiscal_month
1992,28.963,1.155,0.825,0.414,2.887,23565.716,23565.716,18.84,15.16,1355.91,-,1.62,12
1993,28.145,0.97,0.875,0.69,3.242,28378.382,33900.382,24.59,16.94,1302.956,3.91,0.01,12
1994,27.509,1.3,0.925,-0.391,2.222,29081.107,35917.107,23.59,20.25,1303.501,-0.04,0.02,12
1995,28.433,0.715,0.963,0.419,3.125,34168.888,41101.888,26.69,21.69,1304.654,-0.09,0.01,12
1996,33.621,1.995,1.04,1.818,4.44,42450.59,47507.59,34.06,25.88,1306.172,-0.12,0.01,12
1997,31.888,2.475,1.14,0.52,3.484,50506.687,54904.687,44.34,31.13,1311.862,-0.44,-0.34,12
1998,23.277,1.02,1.22,-0.114,2.842,54162.018,60307.018,44.47,36.13,1306.053,0.44,0.48,12
1999,64.983,1.57,1.24,-0.094,5.892,56852.691,74125.691,51.78,36.84,1312.692,-0.51,-0.19,12
2000,91.102,3.985,1.3,4.464,10.299,54131.106,67851.106,47.13,35.53,1282.12,2.33,2.77,12
2001,50.015,1.545,1.325,0.821,5.393,95644.301,110195.301,49.02,39.39,2134.441,-66.48,0.65,12
2002,46.135,0.53,1.4,1.098,4.655,71009.715,83800.715,45.8,32.95,2136.273,-0.09,-0.06,12
2003,58.374,3.48,1.43,3.22,5.928,93015.833,100613.833,43.5,30.93,2138.295,-0.09,0.02,12
2004,73.176,6.28,1.53,3.949,6.922,110644.871,111346.871,55.41,42.22,2107.12,1.46,1.5,12
2005,91.938,6.54,1.75,5.29,9.326,126749.641,128675.641,65.77,50.51,2232.687,-5.96,2.16,12
2006,95.631,7.8,2.01,4.783,11.07,159159.95,157760.95,75.97,54.08,2164.558,3.05,2.82,12
2007,103.614,8.77,2.26,3.893,11.715,195100.205,194442.205,95.08,66.43,2090.434,3.42,3.27,12
2008,130.556,11.67,2.53,4.861,14.455,148253.041,148063.041,103.09,57.83,2004.232,4.12,4.6,12
2009,84.118,5.24,2.66,-0.235,9.682,154574.517,156913.517,79.64,56.46,2007.722,-0.17,-0.11,12
2010,98.753,9.48,2.84,5.851,15.622,183182.641,181173.641,91.6,67.31,2007.481,0.01,0.17,12
2011,122.124,13.44,3.09,7.294,20.537,210796.169,201676.169,109.66,89.88,1981.167,1.31,1.51,12
2012,117.349,13.32,3.51,4.007,19.752,210515.922,202102.922,117.96,96.41,1946.698,1.74,1.97,12
2013,113.952,11.09,3.9,-1.544,18.117,239028.151,244257.151,127.76,109.26,1913.603,1.7,1.88,12
2014,106.419,10.14,4.21,-2.087,16.706,210859.025,226625.025,134.85,100.86,1879.649,1.77,2.09,12
2015,69.293,2.45,4.28,-5.359,10.377,169377.947,197764.947,112.78,70.02,1882.814,-0.17,-0.12,12
2016,58.844,-0.27,4.29,-2.893,6.775,222630.256,262921.256,118.77,78.98,1891.506,-0.46,-0.29,12
2017,70.956,4.85,4.32,3.653,10.715,238449.643,273585.643,125.98,103.04,1904.702,-0.7,0,12
2018,83.021,7.74,4.48,8.791,15.997,207009.746,232211.746,133.6,100.99,1902.838,0.1,0.85,12
2019,73.807,1.54,4.76,6.965,14.414,226820.066,249039.066,126.68,108.57,1882.168,1.09,1.78,12
2020,49.204,-2.96,5.16,0.862,5.509,162581.958,202307.958,121.43,54.22,1925.186,-2.29,1.08,12
2021,81.045,8.14,5.31,11.006,15.202,224800.119,251367.119,118.79,84.71,1915.638,0.5,0.62,12
2022,121.504,18.28,5.68,19.396,25.568,341219.106,347617.106,188.05,119.26,1901.048,0.76,3.3,12
2023,104.741,11.36,6.04,10.521,18.941,276166.757,289751.757,187.79,141.77,1851.48,2.61,5.41,12
2024,106.447,9.72,6.52,8.28,17.332,256223.698,274818.698,166.33,137.88,1769.012,4.45,5.94,12
