dividend_amount,ex_date,record_date,pay_date,dividend_type,currency
0.405,2025-06-13,2025-06-13,2025-07-01,regular,USD
0.405,2025-03-14,2025-03-14,2025-04-01,regular,USD
0.405,2024-12-13,2024-12-13,2025-01-02,regular,USD
0.405,2024-09-13,2024-09-13,2024-10-01,regular,USD
0.4,2024-06-14,2024-06-14,2024-07-01,regular,USD
0.4,2024-03-14,2024-03-15,2024-04-01,regular,USD
0.4,2023-12-14,2023-12-15,2024-01-02,regular,USD
0.4,2023-09-14,2023-09-15,2023-10-02,regular,USD
0.4,2023-06-15,2023-06-16,2023-07-03,regular,USD
0.4,2023-03-16,2023-03-17,2023-04-03,regular,USD
0.395,2022-12-15,2022-12-16,2023-01-03,regular,USD
0.395,2022-09-15,2022-09-16,2022-10-03,regular,USD
0.395,2022-06-09,2022-06-10,2022-07-01,regular,USD
0.395,2022-03-17,2022-03-18,2022-04-01,regular,USD
0.39,2021-12-16,2021-12-17,2022-01-03,regular,USD
0.39,2021-09-16,2021-09-17,2021-10-01,regular,USD
0.39,2021-06-10,2021-06-11,2021-07-01,regular,USD
0.39,2021-03-11,2021-03-12,2021-04-01,regular,USD
0.385,2020-12-10,2020-12-11,2021-01-04,regular,USD
0.385,2020-09-17,2020-09-18,2020-10-01,regular,USD
0.385,2020-06-11,2020-06-12,2020-07-01,regular,USD
0.385,2020-03-12,2020-03-13,2020-04-01,regular,USD
0.3675,2019-12-12,2019-12-13,2020-01-02,regular,USD
0.3675,2019-09-12,2019-09-13,2019-10-01,regular,USD
0.3675,2019-06-13,2019-06-14,2019-07-01,regular,USD
0.3675,2019-03-14,2019-03-15,2019-04-01,regular,USD
0.335,2018-12-13,2018-12-14,2019-01-02,regular,USD
0.335,2018-09-13,2018-09-14,2018-10-01,regular,USD
0.335,2018-06-14,2018-06-15,2018-07-02,regular,USD
0.335,2018-03-14,2018-03-15,2018-04-02,regular,USD
0.32,2017-12-14,2017-12-15,2018-01-02,regular,USD
0.32,2017-09-14,2017-09-15,2017-10-02,regular,USD
0.32,2017-06-13,2017-06-15,2017-07-03,regular,USD
0.32,2017-03-13,2017-03-15,2017-04-03,regular,USD
0.305,2016-12-13,2016-12-15,2017-01-02,regular,USD
0.305,2016-09-13,2016-09-15,2016-10-03,regular,USD
0.305,2016-06-13,2016-06-15,2016-07-01,regular,USD
0.305,2016-03-14,2016-03-16,2016-04-01,regular,USD
0.29,2015-12-11,2015-12-15,2016-01-04,regular,USD
0.29,2015-09-14,2015-09-16,2015-10-01,regular,USD
0.29,2015-06-12,2015-06-16,2015-07-01,regular,USD
0.29,2015-03-12,2015-03-16,2015-04-01,regular,USD
0.275,2014-12-11,2014-12-15,2015-01-02,regular,USD
0.275,2014-09-11,2014-09-15,2014-10-01,regular,USD
0.275,2014-06-11,2014-06-13,2014-07-01,regular,USD
0.275,2014-03-12,2014-03-14,2014-04-01,regular,USD
0.24,2013-12-11,2013-12-13,2014-01-02,regular,USD
0.24,2013-09-11,2013-09-13,2013-10-01,regular,USD
0.24,2013-06-12,2013-06-14,2013-07-01,regular,USD
0.24,2013-03-13,2013-03-15,2013-04-01,regular,USD
0.2,2012-12-12,2012-12-14,2013-01-01,regular,USD
0.2,2012-09-12,2012-09-14,2012-10-01,regular,USD
0.2,2012-06-13,2012-06-15,2012-07-01,regular,USD
0.2,2012-03-13,2012-03-15,2012-04-01,regular,USD
0.175,2011-12-13,2011-12-15,2012-01-01,regular,USD
0.165,2011-09-13,2011-09-15,2011-10-01,regular,USD
0.165,2011-06-13,2011-06-15,2011-07-01,regular,USD
0.165,2011-03-11,2011-03-15,2011-04-01,regular,USD
0.14,2010-12-13,2010-12-15,2011-01-01,regular,USD
0.14,2010-09-13,2010-09-15,2010-10-01,regular,USD
0.14,2010-06-11,2010-06-15,2010-07-01,regular,USD
0.14,2010-03-11,2010-03-15,2010-04-01,regular,USD
0.125,2009-12-11,2009-12-15,2010-01-01,regular,USD
0.125,2009-09-11,2009-09-15,2009-10-01,regular,USD
0.125,2009-06-11,2009-06-15,2009-07-01,regular,USD
0.125,2009-03-11,2009-03-15,2009-04-01,regular,USD
0.12,2008-12-11,2008-12-15,2009-01-01,regular,USD
0.12,2008-09-11,2008-09-15,2008-10-01,regular,USD
0.12,2008-06-11,2008-06-15,2008-07-01,regular,USD
0.12,2008-03-12,2008-03-15,2008-04-01,regular,USD
0.105,2007-12-12,2007-12-15,2008-01-01,regular,USD
0.105,2007-09-12,2007-09-15,2007-10-01,regular,USD
0.105,2007-06-13,2007-06-15,2007-07-01,regular,USD
0.105,2007-03-13,2007-03-15,2007-04-01,regular,USD
0.09,2006-12-13,2006-12-15,2007-01-01,regular,USD
0.09,2006-09-13,2006-09-15,2006-10-01,regular,USD
0.0825,2006-06-13,2006-06-15,2006-07-01,regular,USD
