fiscal_year,revenue,gross_profit,sga,rnd,operating_income,taxes_paid,net_income,cash_equivalents,market_securities,current_assets,long_assets,short_debt,current_liabilities,long_debt,long_liabilities,treasury_stock,shares_outstanding_diluted,shares_outstanding_eop,cash_from_ops,cash_for_dividends,capex,free_cash_flow,stock_issues,stock_buyback,debt_paid,debt_issued,fiscal_month
1993,903.4,280.9,143.8,0,48.6,-20.7,21.8,32.5,0,327.5,757.5,14,145.9,81.4,238.9,-0,117.838,92.4,101.6,0,-88.1,13.5,0,0,-13.7,0,12
1994,1080.9,338.8,123.5,28.1,93.9,-38.1,51.3,32.1,0,390.1,749.1,18.6,181.1,237.8,413.1,-0,129.873,129.873,110.7,-9.6,-70.4,40.3,99.5,0,-151.5,0,12
1995,1244.2,371.1,130.5,29.5,117,-53.4,78.2,33.1,0,428.8,775.7,17,194.2,200.1,387.7,-0,132.542,132.542,116.2,-13.5,-112.4,3.8,0,0,-48.1,0,12
1996,854.5,314.1,149.7,30.442,93.4,-97,156.1,14.2,0,259.1,587.2,7.5,147.9,24.4,193.2,-0,117.811,117.811,28.5,-14.2,-90.4,-61.9,0,-251.5,-182.8,0,12
1997,829.9,330.5,109.3,31.4,120.8,-40.9,80,34.3,0,296.7,591.5,0.4,112.6,91.4,258.3,-0,111.111,111.111,97.1,-16.6,-85.3,11.8,5,-37.5,0,60.7,12
1998,820.9,335.9,105.4,29.7,125.8,-38.1,84.7,21.2,0,311.5,626.3,0.4,107.9,192.5,378.2,-0,104.272,104.272,137.9,-19.3,-92,45.9,0.4,-140.6,0,98.8,12
1999,845.9,340.3,105.4,34.3,124.8,-39.9,88.8,48.6,0,332.6,621.5,0.8,131.4,159,332.1,-0,95.026,92.4,164.3,-18.8,-77.6,86.7,0.6,-15.5,-34.7,0,12
2000,917.549,271.463,103.234,26.201,150.162,-45.725,101.776,19.3,0,315.154,666.649,0.299,142.116,97.681,280.78,-0,93.212,91.647,155.067,-19.752,-52.248,102.819,1.313,-9.798,-59.706,0,12
2001,942.752,221.335,98.915,21.919,98.45,-29.029,68.167,30.585,0,383.661,754.611,157.862,303.837,12.353,241.133,-0,93.048,90.996,143.864,-23.844,-49.903,93.961,0,-7.585,0,74.139,12
2002,1007.918,232.53,111.676,16.485,102.819,-28.086,73.021,47.784,0,420.506,779.892,0.343,164.025,190.285,462.036,-0,86.274,86.274,144.771,-22.979,-38.382,106.389,0,-93.074,0,18.654,12
2003,1110.237,238.51,117.226,18.411,92.824,-13.89,71.945,35.173,0,481.369,905.922,0.19,210.071,228.389,540.999,-0,84.292,84.292,150.098,-26.228,-41.058,109.04,1.665,-17.588,0,35.871,12
2004,1513.737,312.349,157.737,31.273,118.481,-17.005,54.839,46.39,0,747.41,1695.335,45.047,373.746,899.584,1357.624,-0,85.054,85.054,191.555,-30.142,-57.652,133.903,11.907,-0.827,0,715.956,12
2005,2107.499,423.398,219.725,41.675,163.896,-27.593,114.867,58.57,0,873.663,1681.955,57.564,421.917,775.889,1203.426,-0,95.495,95.495,168.862,-26.447,-70.08,98.782,154.208,0,-191.48,0,12
2006,2368.506,550.814,237.856,46.299,266.659,-2.192,142.969,149.499,0,960.854,1569.514,50.731,482.949,681.859,979.787,-0,97.136,97.136,376.294,-31.582,-99.847,276.447,21.395,-31.837,-104.97,0,12
