dividend_amount,ex_date,record_date,pay_date,dividend_type,currency
0.7,2025-05-30,2025-05-30,2025-06-13,regular,USD
0.7,2025-02-28,2025-02-28,2025-03-14,regular,USD
0.7,2024-11-29,2024-11-29,2024-12-13,regular,USD
0.7,2024-08-30,2024-08-30,2024-09-13,regular,USD
0.7,2024-05-31,2024-05-31,2024-06-14,regular,USD
0.7,2024-02-28,2024-02-29,2024-03-08,regular,USD
0.7,2023-11-29,2023-11-30,2023-12-08,regular,USD
0.7,2023-08-30,2023-08-31,2023-09-08,regular,USD
0.7,2023-05-30,2023-05-31,2023-06-09,regular,USD
0.7,2023-02-27,2023-02-28,2023-03-10,regular,USD
0.7,2022-11-29,2022-11-30,2022-12-09,regular,USD
0.7,2022-08-30,2022-08-31,2022-09-09,regular,USD
0.7,2022-05-27,2022-05-31,2022-06-10,regular,USD
0.7,2022-02-25,2022-02-28,2022-03-11,regular,USD
0.7,2021-11-29,2021-11-30,2021-12-10,regular,USD
0.7,2021-08-30,2021-08-31,2021-09-10,regular,USD
0.7,2021-05-27,2021-05-28,2021-06-11,regular,USD
0.7,2021-02-25,2021-02-26,2021-03-12,regular,USD
0.7,2020-11-27,2020-11-30,2020-12-11,regular,USD
0.7,2020-08-28,2020-08-31,2020-09-11,regular,USD
0.7,2020-05-28,2020-05-29,2020-06-12,regular,USD
0.7,2020-02-27,2020-02-28,2020-03-13,regular,USD
0.7,2019-11-27,2019-11-29,2019-12-13,regular,USD
0.7,2019-08-29,2019-08-30,2019-09-13,regular,USD
0.7,2019-05-30,2019-05-31,2019-06-14,regular,USD
