dividend_amount,ex_date,record_date,pay_date,dividend_type,currency
0.68,2025-05-12,2025-05-12,2025-06-12,regular,USD
0.68,2025-02-21,2025-02-21,2025-03-12,regular,USD
0.68,2024-11-12,2024-11-12,2024-12-12,regular,USD
0.68,2024-08-12,2024-08-12,2024-09-12,regular,USD
0.65,2024-05-09,2024-05-10,2024-06-12,regular,USD
0.65,2024-02-15,2024-02-16,2024-03-12,regular,USD
0.65,2023-11-09,2023-11-10,2023-12-12,regular,USD
0.65,2023-08-09,2023-08-10,2023-09-12,regular,USD
0.62,2023-05-09,2023-05-10,2023-06-12,regular,USD
0.62,2023-02-16,2023-02-17,2023-03-10,regular,USD
0.62,2022-11-09,2022-11-10,2022-12-12,regular,USD
0.62,2022-08-09,2022-08-10,2022-09-10,regular,USD
0.59,2022-05-09,2022-05-10,2022-06-10,regular,USD
0.59,2022-02-17,2022-02-18,2022-03-11,regular,USD
0.59,2021-11-09,2021-11-10,2021-12-10,regular,USD
0.59,2021-08-09,2021-08-10,2021-09-10,regular,USD
0.54,2021-05-07,2021-05-10,2021-06-11,regular,USD
0.54,2021-02-18,2021-02-19,2021-03-12,regular,USD
0.54,2020-11-09,2020-11-10,2020-12-11,regular,USD
0.54,2020-08-07,2020-08-10,2020-09-11,regular,USD
0.51,2020-05-08,2020-05-11,2020-06-12,regular,USD
0.51,2020-02-20,2020-02-21,2020-03-12,regular,USD
0.51,2019-11-08,2019-11-12,2019-12-12,regular,USD
0.51,2019-08-09,2019-08-12,2019-09-12,regular,USD
0.48,2019-05-09,2019-05-10,2019-06-12,regular,USD
0.48,2019-02-21,2019-02-22,2019-03-12,regular,USD
0.48,2018-11-08,2018-11-12,2018-12-12,regular,USD
0.48,2018-08-09,2018-08-10,2018-09-12,regular,USD
0.45,2018-05-09,2018-05-10,2018-06-12,regular,USD
0.45,2018-02-15,2018-02-16,2018-03-12,regular,USD
0.45,2017-11-09,2017-11-10,2017-12-12,regular,USD
0.45,2017-08-08,2017-08-10,2017-09-12,regular,USD
0.4,2017-05-08,2017-05-10,2017-06-12,regular,USD
0.4,2017-02-15,2017-02-17,2017-03-10,regular,USD
0.4,2016-11-08,2016-11-10,2016-12-12,regular,USD
0.4,2016-08-08,2016-08-10,2016-09-12,regular,USD
0.4,2016-05-06,2016-05-10,2016-06-10,regular,USD
0.36,2016-02-17,2016-02-19,2016-03-11,regular,USD
0.36,2015-11-06,2015-11-10,2015-12-11,regular,USD
0.36,2015-08-06,2015-08-10,2015-09-11,regular,USD
0.36,2015-05-07,2015-05-11,2015-06-12,regular,USD
0.335,2015-02-18,2015-02-20,2015-03-27,regular,USD
0.335,2014-11-06,2014-11-10,2014-12-12,regular,USD
0.335,2014-08-07,2014-08-11,2014-09-12,regular,USD
0.335,2014-05-08,2014-05-12,2014-06-12,regular,USD
0.305,2014-02-19,2014-02-21,2014-03-12,regular,USD
0.305,2013-11-06,2013-11-11,2013-12-12,regular,USD
0.305,2013-08-08,2013-08-12,2013-09-12,regular,USD
0.305,2013-05-08,2013-05-10,2013-06-12,regular,USD
0.295,2013-02-20,2013-02-22,2013-03-12,regular,USD
