fiscal_year,revenue,gross_profit,sga,rnd,operating_income,taxes_paid,net_income,cash_equivalents,market_securities,current_assets,long_assets,short_debt,current_liabilities,long_debt,long_liabilities,treasury_stock,shares_outstanding_diluted,shares_outstanding_eop,cash_from_ops,cash_for_dividends,capex,free_cash_flow,stock_issues,stock_buyback,debt_paid,debt_issued,fiscal_month
1985,4345.5,1706.8,787.2,0,557.7,-234.4,302.7,24.3,0,1370.1,2713.7,238.7,823.6,983.3,1554.9,-0,531.053,531.053,0,0,0,0,0,0,0,0,12
1986,4687.1,1895.8,877.7,0,618.3,-236.2,316.4,66.3,0,1615.9,3025.5,345.8,975.7,1008.4,1687.9,-0,475.789,475.789,0,0,0,0,0,0,0,0,12
1987,5182.6,2095.2,999.9,0,650.8,-259.8,377.1,82.1,0,1835.6,3152.3,509.5,1274.8,903.3,1669.6,-0,471.375,471.375,0,0,0,0,0,0,0,0,12
1988,5638.7,2304.9,1092,0,920.3,-311.4,467.6,103.4,0,1899,3255.1,426.4,1264.5,876.9,1646.2,-0,441.132,441.132,0,0,0,0,0,0,0,0,12
1989,5734.1,2143.1,996.6,0,836.3,-283.5,465.2,64.6,0,2056.3,3589.1,441.1,1337.7,1177.5,1961.4,-0,447.308,431.712,580,-165.4,-536.8,43.2,253.2,-306.4,0,9.7,12
1990,6021.4,2300,1050.8,0,904.4,-292.1,474.8,59.3,0,2216.9,3891.3,431.8,1470.5,1186.2,2021.8,-0,429.683,424.16,913.3,-175.9,-524,389.3,2.8,-135.9,-133.1,0,12
1991,5672.6,2018.1,1078.9,0,566.4,-146.7,201.4,37.6,0,2173.3,3882.9,410.4,1340.5,1163.2,1985.7,-0,428.511,424.68,478.9,-182.6,-335.4,143.5,9.8,-15.2,-54.7,0,12
1992,5813.9,2140.8,1082.8,0,684.8,-218.4,319.4,61.4,0,1950.8,3710.9,434.4,1253,872.3,1649.5,-0,425.867,424.54,670.2,-199.6,-282.3,387.9,28.1,-26.6,-207.3,0,12
1993,5753.9,2139.7,1072.9,0,716.6,-236.2,22.2,111.9,0,2025.9,3625.6,355.1,1281,774,1845.5,-0,444,427.364,740.7,-220.8,-257.6,483.1,13.2,-81.2,-182.8,0,12
1994,6331.2,2465.7,919,218.1,1011.1,-325.2,514.6,62.1,0,2168.2,3725.7,370.7,1424.5,745,1842.1,-1488.6,428.8,414.278,691.1,-237.8,-321.8,369.3,19.4,-280,0,0.8,12
1995,7058,2846,977,236,1301,-480,768,106,0,2276,3918,485,1629,707,1928,-2060,406.6,388.9,1072,-239,-448,624,8,-588,0,66,12
