date,share_price
1972-06-01,1.94
1972-06-02,1.96
1972-06-05,1.94
1972-06-06,1.93
1972-06-07,1.9
1972-06-08,1.9
1972-06-09,1.91
1972-06-12,1.93
1972-06-13,1.93
1972-06-14,1.94
1972-06-15,1.94
1972-06-16,1.96
1972-06-19,1.96
1972-06-20,1.99
1972-06-21,1.98
1972-06-22,1.99
1972-06-23,1.98
1972-06-26,1.96
1972-06-27,1.98
1972-06-28,1.95
1972-06-29,1.89
1972-06-30,1.9
1972-07-03,1.91
1972-07-05,1.94
1972-07-06,1.94
1972-07-07,1.91
1972-07-10,1.9
1972-07-11,1.87
1972-07-12,1.87
1972-07-13,1.87
1972-07-14,1.87
1972-07-17,1.85
1972-07-18,1.87
1972-07-19,1.89
1972-07-20,1.91
1972-07-21,1.91
1972-07-24,1.87
1972-07-25,1.87
1972-07-26,1.9
1972-07-27,1.87
1972-07-28,1.88
1972-07-31,1.88
1972-08-01,1.9
1972-08-02,1.97
1972-08-03,1.96
1972-08-04,1.88
1972-08-07,1.85
1972-08-08,1.84
1972-08-09,1.83
1972-08-10,1.78
1972-08-11,1.78
1972-08-14,1.76
1972-08-15,1.78
1972-08-16,1.79
1972-08-17,1.8
1972-08-18,1.81
1972-08-21,1.82
1972-08-22,1.84
1972-08-23,1.84
1972-08-24,1.81
1972-08-25,1.8
1972-08-28,1.81
1972-08-29,1.81
1972-08-30,1.8
1972-08-31,1.82
1972-09-01,1.8
1972-09-05,1.8
1972-09-06,1.82
1972-09-07,1.8
1972-09-08,1.8
1972-09-11,1.8
1972-09-12,1.76
1972-09-13,1.77
1972-09-14,1.73
1972-09-15,1.74
1972-09-18,1.71
1972-09-19,1.68
1972-09-20,1.65
1972-09-21,1.65
1972-09-22,1.62
1972-09-25,1.6
1972-09-26,1.6
1972-09-27,1.59
1972-09-28,1.59
1972-09-29,1.63
1972-10-02,1.6
1972-10-03,1.59
1972-10-04,1.54
1972-10-05,1.51
1972-10-06,1.53
1972-10-09,1.54
1972-10-10,1.6
1972-10-11,1.69
1972-10-12,1.68
1972-10-13,1.65
1972-10-16,1.66
1972-10-17,1.66
1972-10-18,1.65
1972-10-19,1.6
1972-10-20,1.63
1972-10-23,1.65
1972-10-24,1.63
1972-10-25,1.62
1972-10-26,1.62
1972-10-27,1.59
1972-10-30,1.55
1972-10-31,1.59
1972-11-01,1.64
1972-11-02,1.69
1972-11-03,1.79
1972-11-06,1.77
1972-11-08,1.78
1972-11-09,1.79
1972-11-10,1.76
1972-11-13,1.75
1972-11-14,1.76
1972-11-15,1.76
1972-11-16,1.76
1972-11-17,1.74
1972-11-20,1.75
1972-11-21,1.84
1972-11-22,1.89
1972-11-24,1.93
1972-11-27,1.96
1972-11-28,1.93
1972-11-29,1.96
1972-11-30,1.96
1972-12-01,1.96
1972-12-04,1.88
1972-12-05,1.88
1972-12-06,1.88
1972-12-07,1.87
1972-12-08,1.87
1972-12-11,1.87
1972-12-12,1.87
1972-12-13,1.88
1972-12-14,1.87
1972-12-15,1.91
1972-12-18,1.9
1972-12-19,1.91
1972-12-20,1.93
1972-12-21,1.87
1972-12-22,1.9
1972-12-26,1.87
1972-12-27,1.94
1972-12-29,1.96
1973-01-02,1.94
1973-01-03,1.94
1973-01-04,1.91
1973-01-05,1.87
1973-01-08,1.84
1973-01-09,1.84
1973-01-10,1.85
1973-01-11,1.84
1973-01-12,1.79
1973-01-15,1.8
1973-01-16,1.75
1973-01-17,1.77
1973-01-18,1.76
1973-01-19,1.73
1973-01-22,1.78
1973-01-23,1.84
1973-01-24,1.85
1973-01-26,1.77
1973-01-29,1.73
1973-01-30,1.69
1973-01-31,1.68
1973-02-01,1.69
1973-02-02,1.7
1973-02-05,1.71
1973-02-06,1.7
1973-02-07,1.66
1973-02-08,1.63
1973-02-09,1.63
1973-02-12,1.66
1973-02-13,1.66
1973-02-14,1.61
1973-02-15,1.59
1973-02-16,1.59
1973-02-20,1.62
1973-02-21,1.59
1973-02-22,1.59
1973-02-23,1.59
1973-02-26,1.55
1973-02-27,1.53
1973-02-28,1.55
1973-03-01,1.55
1973-03-02,1.52
1973-03-05,1.53
1973-03-06,1.57
1973-03-07,1.63
1973-03-08,1.66
1973-03-09,1.65
1973-03-12,1.61
1973-03-13,1.62
1973-03-14,1.62
1973-03-15,1.59
1973-03-16,1.58
1973-03-19,1.58
1973-03-20,1.54
1973-03-21,1.54
1973-03-22,1.52
1973-03-23,1.49
1973-03-26,1.5
1973-03-27,1.48
1973-03-28,1.48
1973-03-29,1.48
1973-03-30,1.46
1973-04-02,1.46
1973-04-03,1.44
1973-04-04,1.44
1973-04-05,1.46
1973-04-06,1.44
1973-04-09,1.45
1973-04-10,1.46
1973-04-11,1.44
1973-04-12,1.44
1973-04-13,1.45
1973-04-16,1.44
1973-04-17,1.43
1973-04-18,1.44
1973-04-19,1.44
1973-04-23,1.41
1973-04-24,1.4
1973-04-25,1.38
1973-04-26,1.37
1973-04-27,1.43
1973-04-30,1.41
1973-05-01,1.41
1973-05-02,1.42
1973-05-03,1.41
1973-05-04,1.44
1973-05-07,1.43
1973-05-08,1.44
1973-05-09,1.44
1973-05-10,1.41
1973-05-11,1.41
1973-05-14,1.37
1973-05-15,1.35
1973-05-16,1.31
1973-05-17,1.28
1973-05-18,1.27
1973-05-21,1.3
1973-05-22,1.34
1973-05-23,1.31
1973-05-24,1.3
1973-05-25,1.32
1973-05-29,1.3
1973-05-30,1.31
1973-05-31,1.3
1973-06-01,1.27
1973-06-04,1.25
1973-06-05,1.26
1973-06-06,1.26
1973-06-07,1.25
1973-06-08,1.26
1973-06-11,1.3
1973-06-12,1.32
1973-06-13,1.38
1973-06-14,1.4
1973-06-15,1.39
1973-06-18,1.34
1973-06-19,1.31
1973-06-20,1.29
1973-06-21,1.25
1973-06-22,1.29
1973-06-25,1.28
1973-06-26,1.26
1973-06-27,1.26
1973-06-28,1.27
1973-06-29,1.26
1973-07-02,1.27
1973-07-03,1.27
1973-07-05,1.26
1973-07-06,1.24
1973-07-09,1.26
1973-07-10,1.27
1973-07-11,1.27
1973-07-12,1.28
1973-07-13,1.3
1973-07-16,1.32
1973-07-17,1.35
1973-07-18,1.38
1973-07-19,1.4
1973-07-20,1.4
1973-07-23,1.41
1973-07-24,1.4
1973-07-25,1.43
1973-07-26,1.41
1973-07-27,1.38
1973-07-30,1.37
1973-07-31,1.34
1973-08-01,1.33
1973-08-02,1.34
1973-08-03,1.34
1973-08-06,1.35
1973-08-07,1.34
1973-08-08,1.3
1973-08-09,1.3
1973-08-10,1.3
1973-08-13,1.3
1973-08-14,1.3
1973-08-15,1.3
1973-08-16,1.29
1973-08-17,1.3
1973-08-20,1.3
1973-08-21,1.28
1973-08-22,1.26
1973-08-23,1.24
1973-08-24,1.24
1973-08-27,1.24
1973-08-28,1.24
1973-08-29,1.24
1973-08-30,1.25
1973-08-31,1.24
1973-09-04,1.26
1973-09-05,1.24
1973-09-06,1.27
1973-09-07,1.34
1973-09-10,1.32
1973-09-11,1.27
1973-09-12,1.25
1973-09-13,1.26
1973-09-14,1.24
1973-09-17,1.28
1973-09-18,1.31
1973-09-19,1.33
1973-09-20,1.4
1973-09-21,1.41
1973-09-24,1.46
1973-09-25,1.44
1973-09-26,1.44
1973-09-27,1.45
1973-09-28,1.41
1973-10-01,1.39
1973-10-02,1.4
1973-10-03,1.44
1973-10-04,1.46
1973-10-05,1.49
1973-10-08,1.48
1973-10-09,1.54
1973-10-10,1.52
1973-10-11,1.57
1973-10-12,1.55
1973-10-15,1.53
1973-10-16,1.48
1973-10-17,1.48
1973-10-18,1.51
1973-10-19,1.48
1973-10-22,1.48
1973-10-23,1.48
1973-10-24,1.5
1973-10-25,1.46
1973-10-26,1.46
1973-10-29,1.44
1973-10-30,1.41
1973-10-31,1.37
1973-11-01,1.36
1973-11-02,1.35
1973-11-05,1.28
1973-11-06,1.29
1973-11-07,1.34
1973-11-08,1.35
1973-11-09,1.27
1973-11-12,1.21
1973-11-13,1.19
1973-11-14,1.15
1973-11-15,1.19
1973-11-16,1.17
1973-11-19,1.13
1973-11-20,1.13
1973-11-21,1.09
1973-11-23,1.09
1973-11-26,1.04
1973-11-27,1.01
1973-11-28,1.04
1973-11-29,1.04
1973-11-30,1.01
1973-12-03,0.98
1973-12-04,0.96
1973-12-05,0.99
1973-12-06,0.99
1973-12-07,0.99
1973-12-10,0.98
1973-12-11,0.98
1973-12-12,0.95
1973-12-13,0.93
1973-12-14,0.91
1973-12-17,0.91
1973-12-18,0.91
1973-12-19,0.9
1973-12-20,0.91
1973-12-21,0.91
1973-12-24,0.91
1973-12-26,0.91
1973-12-27,0.89
1973-12-28,0.89
1973-12-31,0.96
1974-01-02,0.95
1974-01-03,0.94
1974-01-04,0.93
1974-01-07,0.93
1974-01-08,0.92
1974-01-09,0.9
1974-01-10,0.91
1974-01-11,0.95
1974-01-14,0.99
1974-01-15,1.02
1974-01-16,1.07
1974-01-17,1.1
1974-01-18,1.12
1974-01-21,1.07
1974-01-22,1.09
1974-01-23,1.1
1974-01-24,1.1
1974-01-25,1.12
1974-01-28,1.06
1974-01-29,1.04
1974-01-30,1.07
1974-01-31,1.11
1974-02-01,1.09
1974-02-04,1.02
1974-02-05,1.02
1974-02-06,1.02
1974-02-07,1.02
1974-02-08,1.0
1974-02-11,1.01
1974-02-12,1.03
1974-02-13,1.01
1974-02-14,1.02
1974-02-15,1.05
1974-02-19,1.05
1974-02-20,1.08
1974-02-21,1.09
1974-02-22,1.09
1974-02-25,1.09
1974-02-26,1.09
1974-02-27,1.09
1974-02-28,1.09
1974-03-01,1.09
1974-03-04,1.09
1974-03-05,1.1
1974-03-06,1.09
1974-03-07,1.09
1974-03-08,1.09
1974-03-11,1.09
1974-03-12,1.09
1974-03-13,1.09
1974-03-14,1.08
1974-03-15,1.09
1974-03-18,1.1
1974-03-19,1.11
1974-03-20,1.12
1974-03-21,1.13
1974-03-22,1.12
1974-03-25,1.12
1974-03-26,1.12
1974-03-27,1.12
1974-03-28,1.12
1974-03-29,1.09
1974-04-01,1.09
1974-04-02,1.07
1974-04-03,1.09
1974-04-04,1.12
1974-04-05,1.1
1974-04-08,1.1
1974-04-09,1.1
1974-04-10,1.12
1974-04-11,1.11
1974-04-15,1.12
1974-04-16,1.18
1974-04-17,1.19
1974-04-18,1.19
1974-04-19,1.16
1974-04-22,1.16
1974-04-23,1.16
1974-04-24,1.12
1974-04-25,1.09
1974-04-26,1.1
1974-04-29,1.1
1974-04-30,1.1
1974-05-01,1.12
1974-05-02,1.14
1974-05-03,1.16
1974-05-06,1.14
1974-05-07,1.16
1974-05-08,1.16
1974-05-09,1.18
1974-05-10,1.18
1974-05-13,1.15
1974-05-14,1.15
1974-05-15,1.15
1974-05-16,1.14
1974-05-17,1.12
1974-05-20,1.1
1974-05-21,1.04
1974-05-22,1.05
1974-05-23,1.07
1974-05-24,1.1
1974-05-28,1.09
1974-05-29,1.09
1974-05-30,1.09
1974-05-31,1.09
1974-06-03,1.12
1974-06-04,1.09
1974-06-05,1.09
1974-06-06,1.12
1974-06-07,1.13
1974-06-10,1.1
1974-06-11,1.09
1974-06-12,1.08
1974-06-13,1.05
1974-06-14,1.06
1974-06-17,1.05
1974-06-18,1.05
1974-06-19,1.05
1974-06-20,1.04
1974-06-21,1.03
1974-06-24,1.02
1974-06-25,1.02
1974-06-26,1.02
1974-06-27,1.01
1974-06-28,1.01
1974-07-01,1.02
1974-07-02,1.0
1974-07-03,1.0
1974-07-05,0.99
1974-07-08,0.96
1974-07-09,0.97
1974-07-10,0.95
1974-07-11,0.95
1974-07-12,0.98
1974-07-15,1.0
1974-07-16,0.99
1974-07-17,1.0
1974-07-18,0.99
1974-07-19,0.99
1974-07-22,0.99
1974-07-23,1.03
1974-07-24,1.1
1974-07-25,1.08
1974-07-26,1.07
1974-07-29,1.05
1974-07-30,1.06
1974-07-31,1.05
1974-08-01,1.02
1974-08-02,1.03
1974-08-05,1.02
1974-08-06,1.02
1974-08-07,1.02
1974-08-08,1.02
1974-08-09,0.99
1974-08-12,0.99
1974-08-13,0.99
1974-08-14,0.98
1974-08-15,0.98
1974-08-16,0.94
1974-08-19,0.93
1974-08-20,0.93
1974-08-21,0.94
1974-08-22,0.96
1974-08-23,0.97
1974-08-26,0.94
1974-08-27,0.93
1974-08-28,0.91
1974-08-29,0.9
1974-08-30,0.93
1974-09-03,0.93
1974-09-04,0.88
1974-09-05,0.88
1974-09-06,0.92
1974-09-09,0.89
1974-09-10,0.88
1974-09-11,0.88
1974-09-12,0.85
1974-09-13,0.84
1974-09-16,0.84
1974-09-17,0.85
1974-09-18,0.87
1974-09-19,0.87
1974-09-20,0.89
1974-09-23,0.9
1974-09-24,0.87
1974-09-25,0.87
1974-09-26,0.86
1974-09-27,0.86
1974-09-30,0.85
1974-10-01,0.85
1974-10-02,0.87
1974-10-03,0.84
1974-10-04,0.87
1974-10-07,0.94
1974-10-08,0.91
1974-10-09,0.94
1974-10-10,0.94
1974-10-11,0.98
1974-10-14,1.03
1974-10-15,1.0
1974-10-16,1.0
1974-10-17,1.0
1974-10-18,0.98
1974-10-21,0.98
1974-10-22,0.96
1974-10-23,0.94
1974-10-24,0.92
1974-10-25,0.96
1974-10-28,0.98
1974-10-29,0.97
1974-10-30,0.96
1974-10-31,0.95
1974-11-01,0.96
1974-11-04,0.94
1974-11-05,0.95
1974-11-06,0.94
1974-11-07,0.93
1974-11-08,0.92
1974-11-11,0.92
1974-11-12,0.89
1974-11-13,0.88
1974-11-14,0.88
1974-11-15,0.88
1974-11-18,0.87
1974-11-19,0.9
1974-11-20,0.9
