dividend_amount,ex_date,record_date,pay_date,dividend_type,currency
0.79,2025-05-16,2025-05-16,2025-06-06,regular,USD
0.79,2025-03-03,2025-03-03,2025-03-14,regular,USD
0.715,2024-11-15,2024-11-15,2024-12-06,regular,USD
0.715,2024-08-16,2024-08-16,2024-09-06,regular,USD
0.715,2024-05-16,2024-05-17,2024-06-07,regular,USD
0.715,2024-02-23,2024-02-26,2024-03-08,regular,USD
0.605,2023-11-16,2023-11-17,2023-12-08,regular,USD
0.605,2023-08-17,2023-08-18,2023-09-08,regular,USD
0.605,2023-05-18,2023-05-19,2023-06-02,regular,USD
0.605,2023-02-24,2023-02-27,2023-03-10,regular,USD
0.6,2022-11-17,2022-11-18,2022-12-02,regular,USD
0.6,2022-08-18,2022-08-19,2022-09-09,regular,USD
0.6,2022-05-19,2022-05-20,2022-06-03,regular,USD
0.6,2022-02-25,2022-02-28,2022-03-11,regular,USD
0.55,2021-11-18,2021-11-19,2021-12-03,regular,USD
0.55,2021-08-19,2021-08-20,2021-09-10,regular,USD
0.55,2021-05-20,2021-05-21,2021-06-04,regular,USD
0.55,2021-02-26,2021-03-01,2021-03-12,regular,USD
0.446667,2020-11-12,2020-11-13,2020-12-04,regular,USD
0.446667,2020-08-20,2020-08-21,2020-09-11,regular,USD
0.446667,2020-05-21,2020-05-22,2020-06-05,regular,USD
0.446667,2020-02-28,2020-03-02,2020-03-13,regular,USD
0.376667,2019-11-14,2019-11-15,2019-12-06,regular,USD
0.376667,2019-08-15,2019-08-16,2019-09-06,regular,USD
0.376667,2019-05-16,2019-05-17,2019-05-31,regular,USD
0.376667,2019-02-22,2019-02-25,2019-03-08,regular,USD
0.286667,2018-11-15,2018-11-16,2018-12-07,regular,USD
0.286667,2018-08-16,2018-08-17,2018-09-07,regular,USD
0.286667,2018-05-17,2018-05-18,2018-06-01,regular,USD
0.286667,2018-02-23,2018-02-26,2018-03-09,regular,USD
0.283333,2017-11-16,2017-11-17,2017-12-08,regular,USD
0.283333,2017-08-16,2017-08-18,2017-09-08,regular,USD
0.283333,2017-05-17,2017-05-19,2017-06-02,regular,USD
0.283333,2017-02-23,2017-02-27,2017-03-10,regular,USD
0.28,2016-11-16,2016-11-18,2016-12-02,regular,USD
0.28,2016-08-17,2016-08-19,2016-09-09,regular,USD
0.28,2016-05-18,2016-05-20,2016-06-03,regular,USD
0.28,2016-02-25,2016-02-29,2016-03-11,regular,USD
0.223333,2015-11-10,2015-11-13,2015-12-04,regular,USD
0.223333,2015-08-12,2015-08-14,2015-09-04,regular,USD
0.223333,2015-05-13,2015-05-15,2015-05-29,regular,USD
0.223333,2015-02-26,2015-03-02,2015-03-13,regular,USD
0.183333,2014-11-12,2014-11-14,2014-12-05,regular,USD
0.183333,2014-08-13,2014-08-15,2014-09-05,regular,USD
0.183333,2014-05-14,2014-05-16,2014-05-30,regular,USD
0.183333,2014-02-27,2014-03-03,2014-03-14,regular,USD
0.166667,2013-11-13,2013-11-15,2013-12-06,regular,USD
0.166667,2013-08-14,2013-08-16,2013-09-06,regular,USD
0.166667,2013-05-15,2013-05-17,2013-05-31,regular,USD
0.166667,2013-02-21,2013-02-25,2013-03-08,regular,USD
0.13,2012-11-14,2012-11-16,2012-11-30,regular,USD
0.13,2012-08-15,2012-08-17,2012-09-07,regular,USD
0.13,2012-05-16,2012-05-18,2012-06-01,regular,USD
0.13,2012-02-23,2012-02-27,2012-03-09,regular,USD
0.121667,2011-11-16,2011-11-18,2011-12-02,regular,USD
0.121667,2011-08-17,2011-08-19,2011-09-09,regular,USD
0.121667,2011-05-18,2011-05-20,2011-06-03,regular,USD
0.121667,2011-02-23,2011-02-25,2011-03-11,regular,USD
0.12,2010-11-17,2010-11-19,2010-12-03,regular,USD
0.12,2010-08-18,2010-08-20,2010-09-10,regular,USD
0.12,2010-05-19,2010-05-21,2010-06-04,regular,USD
0.12,2010-02-24,2010-02-26,2010-03-12,regular,USD
0.118333,2009-11-10,2009-11-13,2009-12-04,regular,USD
0.118333,2009-08-19,2009-08-21,2009-09-11,regular,USD
0.118333,2009-05-13,2009-05-15,2009-06-05,regular,USD
0.118333,2009-02-25,2009-02-27,2009-03-13,regular,USD
0.116667,2008-11-12,2008-11-14,2008-12-05,regular,USD
0.116667,2008-08-20,2008-08-22,2008-09-12,regular,USD
0.116667,2008-05-14,2008-05-16,2008-06-06,regular,USD
0.116667,2008-02-27,2008-02-29,2008-03-14,regular,USD
0.105,2007-11-14,2007-11-16,2007-12-07,regular,USD
0.105,2007-08-22,2007-08-24,2007-09-14,regular,USD
0.105,2007-05-16,2007-05-18,2007-06-08,regular,USD
0.105,2007-02-28,2007-03-02,2007-03-16,regular,USD
0.083333,2006-11-15,2006-11-17,2006-12-08,regular,USD
0.083333,2006-08-16,2006-08-18,2006-09-01,regular,USD
0.083333,2006-05-17,2006-05-19,2006-06-09,regular,USD
0.083333,2006-03-01,2006-03-03,2006-03-17,regular,USD
0.068333,2005-11-16,2005-11-18,2005-12-09,regular,USD
0.068333,2005-08-17,2005-08-19,2005-09-02,regular,USD
0.068333,2005-05-18,2005-05-20,2005-06-10,regular,USD
0.068333,2005-02-24,2005-02-28,2005-03-14,regular,USD
0.056667,2004-11-09,2004-11-12,2004-11-26,regular,USD
0.056667,2004-08-18,2004-08-20,2004-09-03,regular,USD
0.056667,2004-05-26,2004-05-28,2004-06-11,regular,USD
