fiscal_year,revenue,gross_profit,sga,rnd,operating_income,taxes_paid,net_income,cash_equivalents,market_securities,current_assets,long_assets,short_debt,current_liabilities,long_debt,long_liabilities,treasury_stock,shares_outstanding_diluted,shares_outstanding_eop,cash_from_ops,cash_for_dividends,capex,free_cash_flow,stock_issues,stock_buyback,debt_paid,debt_issued,fiscal_month
1985,2194.9,819.6,652.9,0,140.4,-54,74.6,170,0,748.1,307.7,9.1,376.5,145.4,213.9,-0,545.854,552.864,0,0,0,0,0,0,0,0,12
1986,1552.9,660.6,493.7,0,142.3,-78.1,106,101.7,0,753.5,392.1,9.2,430.3,119.7,223.7,-0,538.983,528.96,0,0,0,0,0,0,0,0,12
1987,1792.7,764.5,585.5,0,150.1,-67.9,96.6,208.5,0,757.2,382.8,7.2,370.1,89.2,220.2,-0,526.909,524.676,0,0,0,0,0,0,0,0,12
1988,1950.5,800.5,628.6,0,135,-62,101.1,154.2,0,766.1,492.6,0,378,129.6,279.4,-0,522.931,516.492,0,0,0,0,0,0,0,0,12
1989,2123.5,890.3,685.6,0,162.7,-61.3,108.9,132.2,0,845.9,529.1,20.5,433.3,105,274.1,-0,518.571,517.524,170.3,-30.1,-71.7,98.6,0,-12.5,-13.2,0,12
1990,2266.7,973.3,745.7,0,183.1,-64.6,122.7,96,0,824.3,680.1,2.7,432.2,138,308.5,-0,518.451,520.434,154.7,-32.9,-271.4,-116.7,0,-1.3,0,15.4,12
1991,2541.4,1089,825.9,0,215.2,-70.6,128.2,100.8,0,887.1,724.8,43.1,488.4,71.8,255.5,-0,526.849,525.858,135.5,-36.7,-88,47.5,13.4,-1.3,-25.3,0,12
1992,2747.8,1224.7,914.7,0,243.7,-81.4,62.8,164.7,0,988.2,741.7,13.3,505.8,60.1,318.3,-0,523.333,534.33,214.1,-38.8,-71.8,142.3,17.7,-4.3,-44.2,0,12
1993,2949.3,1307.4,981.3,0,271,-99.1,165.2,230.1,0,1151.1,763.6,1.7,567.5,37.9,314,-0,532.903,531.036,254.3,-44.4,-66.2,188.1,12.6,-16.1,-33.7,0,12
1994,3100.1,1387.9,1018.5,0,308.9,-111.9,186.6,251.4,0,1188.6,773.4,0,597,20.5,311.7,-0,518.333,508.956,250.5,-48.4,-87.9,162.6,6.3,-128.1,-19.6,0,12
1995,3273.8,1474.6,1075.4,0,321.3,-117.8,200.7,249.5,0,1238.9,902.2,0,618.9,24,310.1,-0,514.615,512.73,282.7,-54.6,-108.4,174.3,11.1,-17.4,-0.8,0,12
1996,4132.9,1831.3,1309.1,0,418.6,-146.2,229.2,1.9,0,1416.2,1578.4,170.2,1051,142.7,542.4,-0,516.992,515.493,339.3,-60,-793.5,-454.2,12.8,-3.1,0,186,12
1997,4881.1,2235.9,1573.5,0,523.2,-166.7,260.6,3.5,0,1532.3,2503.5,160.8,1115.7,843.9,1327.9,-0,521.2,518.721,439.5,-69,-1048.5,-609,14.8,-8.4,0,691.3,12
1998,4934.4,2277.8,1598.3,0,531.6,-167.2,272.9,19.1,0,1547.3,2518.2,118.2,1112,730.3,1237.6,-0,521.465,513.099,478.5,-77.8,-146.1,332.4,16.8,-85,-157,0,12
1999,5003.8,2404.3,1673.4,0,575.1,-186.3,303.9,18.623,0,1578.099,2454.713,122.27,1140.889,624.365,1193.391,-533.891,506.5,496.992,485.1,-81,-149.6,335.5,7.1,-147.4,-102,0,12
