date,share_price
1972-06-01,0.572933
1972-06-02,0.567733
1972-06-05,0.572933
1972-06-06,0.572933
1972-06-07,0.572933
1972-06-08,0.572933
1972-06-09,0.572933
1972-06-12,0.572933
1972-06-13,0.567733
1972-06-14,0.578133
1972-06-15,0.583333
1972-06-16,0.583333
1972-06-19,0.583333
1972-06-20,0.578133
1972-06-21,0.583333
1972-06-22,0.583333
1972-06-23,0.583333
1972-06-26,0.583333
1972-06-27,0.583333
1972-06-28,0.588567
1972-06-29,0.588567
1972-06-30,0.588567
1972-07-03,0.588567
1972-07-05,0.593767
1972-07-06,0.593767
1972-07-07,0.588567
1972-07-10,0.588567
1972-07-11,0.593767
1972-07-12,0.593767
1972-07-13,0.588567
1972-07-14,0.583333
1972-07-17,0.578133
1972-07-18,0.5625
1972-07-19,0.572933
1972-07-20,0.572933
1972-07-21,0.572933
1972-07-24,0.578133
1972-07-25,0.578133
1972-07-26,0.578133
1972-07-27,0.578133
1972-07-28,0.572933
1972-07-31,0.572933
1972-08-01,0.578133
1972-08-02,0.578133
1972-08-03,0.583333
1972-08-04,0.583333
1972-08-07,0.588567
1972-08-08,0.583333
1972-08-09,0.578133
1972-08-10,0.583333
1972-08-11,0.583333
1972-08-14,0.583333
1972-08-15,0.583333
1972-08-16,0.578133
1972-08-17,0.578133
1972-08-18,0.578133
1972-08-21,0.578133
1972-08-22,0.588567
1972-08-23,0.593767
1972-08-24,0.588567
1972-08-25,0.588567
1972-08-28,0.583333
1972-08-29,0.578133
1972-08-30,0.578133
1972-08-31,0.578133
1972-09-01,0.583333
1972-09-05,0.583333
1972-09-06,0.578133
1972-09-07,0.578133
1972-09-08,0.578133
1972-09-11,0.572933
1972-09-12,0.572933
1972-09-13,0.567733
1972-09-14,0.567733
1972-09-15,0.5625
1972-09-18,0.5573
1972-09-19,0.5573
1972-09-20,0.5573
1972-09-21,0.5521
1972-09-22,0.5469
1972-09-25,0.5521
1972-09-26,0.541667
1972-09-27,0.5521
1972-09-28,0.5521
1972-09-29,0.5521
1972-10-02,0.541667
1972-10-03,0.541667
1972-10-04,0.536467
1972-10-05,0.531267
1972-10-06,0.536467
1972-10-09,0.536467
1972-10-10,0.536467
1972-10-11,0.531267
1972-10-12,0.541667
1972-10-13,0.536467
1972-10-16,0.515633
1972-10-17,0.510433
1972-10-18,0.515633
1972-10-19,0.531267
1972-10-20,0.536467
1972-10-23,0.536467
1972-10-24,0.541667
1972-10-25,0.536467
1972-10-26,0.541667
1972-10-27,0.541667
1972-10-30,0.541667
1972-10-31,0.541667
1972-11-01,0.5469
1972-11-02,0.5521
1972-11-03,0.5573
1972-11-06,0.5625
1972-11-08,0.5573
1972-11-09,0.5625
1972-11-10,0.5625
1972-11-13,0.5625
1972-11-14,0.567733
1972-11-15,0.567733
1972-11-16,0.578133
1972-11-17,0.572933
1972-11-20,0.567733
1972-11-21,0.567733
1972-11-22,0.572933
1972-11-24,0.578133
1972-11-27,0.572933
1972-11-28,0.572933
1972-11-29,0.572933
1972-11-30,0.578133
1972-12-01,0.578133
1972-12-04,0.583333
1972-12-05,0.578133
1972-12-06,0.583333
1972-12-07,0.583333
1972-12-08,0.583333
1972-12-11,0.583333
1972-12-12,0.578133
1972-12-13,0.578133
1972-12-14,0.572933
1972-12-15,0.572933
1972-12-18,0.578133
1972-12-19,0.572933
1972-12-20,0.541667
1972-12-21,0.531267
1972-12-22,0.531267
1972-12-26,0.531267
1972-12-27,0.531267
1972-12-29,0.536467
1973-01-02,0.536467
1973-01-03,0.531267
1973-01-04,0.526067
1973-01-05,0.520833
1973-01-08,0.526067
1973-01-09,0.531267
1973-01-10,0.531267
1973-01-11,0.526067
